"b_tc","mu_sr","sigma_sr","logLike"
-0.01,0.01,0.001,-123636.715951551
-0.01,0.01,0.001,-123636.715951551
-0.0121746897950768,0.0149012292981148,0.0105177104321122,-117372.949714281
-0.012580950625658,0.0157669046981335,0.0125734262414575,-116134.451933342
-0.0352022653199665,0.00633715403360796,0.0144069927291566,-115100.419994978
-0.0352188541066768,0.00589785890245003,0.0146075781250016,-115090.940235927
-0.035289068336487,0.00606636925215286,0.01500956561227,-114853.662437346
-0.0360584627910547,0.00587000703163753,0.0150199226921312,-114823.181246101
-0.0360584717059941,0.00586855269342375,0.0150205604021588,-114823.166711932
-0.0360585831749088,0.00586882076311604,0.0150212000668459,-114822.790235349
-0.0362117133268769,0.00583115888271674,0.0150226766995802,-114816.755553175
-0.0362117198538228,0.0058297845665402,0.015023278223813,-114816.742515352
-1,1,1,-114816.742515352
-1,1,1,-114816.742515352
-1.00000252044989,1.00000097675605,1.00000600625403,-114816.689559075
-4.68874570868113,0.538188981676824,-0.172092639606286,-114207.325351094
-4.75321074157157,0.618773338238127,-0.632860950890768,-110703.019773237
-4.50735363203808,0.425980623778619,-1.03457077408553,-108381.887689498
-4.54576027619187,0.366382490224968,-1.05082755333336,-108301.818158244
-4.54558068374736,0.352242183562488,-1.06199091043485,-108243.033517143
-4.54566120858486,0.349311451073707,-1.06408462728343,-108232.21316188
-4.54567700495242,0.348685260355481,-1.06450991612701,-108230.049396803
-4.54569297035115,0.348015817084579,-1.06494299163479,-108227.880428859
-4.54571198674606,0.348037825592725,-1.06507887760777,-108226.937522817
-4.54509661029015,0.347950308607215,-1.06521550256628,-108226.696546531
-4.54509681541668,0.347916383680111,-1.06522515659908,-108226.668758782
-4.54509655594497,0.347762956068541,-1.06525663197564,-108226.625038644
-4.54509653371053,0.347750148466235,-1.06525923760799,-108226.62153436
-4.54509644973213,0.347744160334844,-1.06526046254449,-108226.619919931
-4.5450964976483,0.347741428870376,-1.06526123822197,-108226.617664166
