"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.209866863857596,0.00211070057086682,-99.4299555106518,0,0.0572268027247944,-3.66728270434489,0.000245141718131281
"b_sr",0.293877108807159,0.00587045046966901,50.0604017230944,0,0.0467344975573931,6.28822655996799,3.21113136081408e-10
"b_sr2",-0.00592475068399622,0.000164530025692181,-36.0101486587065,0,0.00217120150954088,-2.72878894840537,0.00635673728347919
"b_es",0.168201804277384,0.00339562128399393,49.534912821475,0,0.056497781341998,2.97713999173186,0.00290951124410244
"b_2nd_sr",0.017763807976394,0.00302941654015322,5.86377203033807,4.5246859592396e-09,0.0107311234035478,1.65535399308902,0.0978527125444206
"b_3rd_sr",0.0201233615152887,0.00325755829871933,6.17743710778715,6.51505072113423e-10,0.0146021192895676,1.37811239014229,0.168168590718833
"b_4th_sr",0.0189739579483987,0.00329885501327005,5.75167986227756,8.83610051793937e-09,0.0131808456055785,1.43950991584094,0.150006102576544
"b_pr_nat",-0.00257469975759695,0.0358690971858497,-0.0717804449957738,0.942776635303063,0.289006735900039,-0.00890878805844679,0.992891909576873
"b_pr_prov",-0.314134241958826,0.0161573799168442,-19.4421523523959,0,0.104807176689794,-2.99725888894606,0.00272419258298862
