"b_tc","b_sr","logLike"
0,0,-582.935032372973
-0.0696491388975799,0.0630571805264097,-520.465878927344
-0.132197541836955,0.142501772344813,-481.68670750952
-0.171322007203054,0.198245957039054,-474.742764161654
-0.183576839886011,0.191736394182121,-474.549788433729
-0.187021568197436,0.190677776573866,-474.538385707713
-0.188605501940074,0.190668159356488,-474.53707164831
-0.188647627400469,0.19071005794225,-474.537066434904
-0.188646959789718,0.190713363400718,-474.537066414029
-0.188646959789718,0.190713363400718,-474.537066414029
-0.188646661647695,0.190713532467476,-474.537066413929
