"b_tc","b_sr","sigma_sr","logLike"
-0.23,3.86,2.26,-91424.3095507989
-0.23,3.86,2.26,-91424.3095507989
-0.223083800561726,3.86052934419364,2.26137802772224,-91423.5093958951
-0.223080285878092,3.86107857071878,2.2628395840352,-91423.3275259303
-0.223302208414006,4.0741435992073,2.2417694588824,-91416.058962889
-0.227706282367635,4.07478690245261,2.24287158564467,-91415.6984495484
-0.227684724269814,4.0782532693376,2.24875528259726,-91415.0229985939
-0.224661991497881,4.07887008800406,2.24985481860639,-91414.7814663703
-0.224633016775838,4.08248444247688,2.25641829219142,-91414.0331311813
-0.226683396253279,4.08306959654833,2.25757137272934,-91413.851835403
-0.226657528856212,4.08712753360052,2.265562757117,-91412.944439526
-0.225240384095723,4.08767668572147,2.26674237178012,-91412.7859995682
-0.225228954382171,4.08869263666834,2.26895118491264,-91412.5371041397
-0.226191087156465,4.08922920606251,2.2701544749132,-91412.3904634754
-0.226189856414896,4.08953480245614,2.27084301767524,-91412.3129702261
-0.226056621481877,4.08964070150697,2.27108407308932,-91412.2801003973
-0.226056307138607,4.08966187944994,2.27113270856282,-91412.274628108
-0.226038562299415,4.08968302051709,2.27118099902412,-91412.2686055707
-0.226038405652814,4.08969165789562,2.27120089170567,-91412.2663672313
-0.226021847400539,4.08971278957503,2.27124919748536,-91412.2604194262
-0.226018718431866,4.08971898354487,2.27126339800527,-91412.2587298921
-1,1,1,-91412.2587298921
-1,1,1,-91412.2587298921
-0.99999997242403,1.00000069110817,1.00000087799257,-91412.2584248974
